"Y";"Y_L1";"Y_L2";"Y_L3";"Y_L4";"Y_L5";"Y_L6";"Y_L7";"Y_L8";"Y_L9";"Y_L10";"Y_L11"
0,258;0,0590000000000001;-0,203;0,2;0,37;0,436;0,227;-0,965;-0,767;-0,278;-0,035;-0,32
0,462;0,258;0,0590000000000001;-0,203;0,2;0,37;0,436;0,227;-0,965;-0,767;-0,278;-0,035
0,407;0,462;0,258;0,0590000000000001;-0,203;0,2;0,37;0,436;0,227;-0,965;-0,767;-0,278
0,24;0,407;0,462;0,258;0,0590000000000001;-0,203;0,2;0,37;0,436;0,227;-0,965;-0,767
-0,246;0,24;0,407;0,462;0,258;0,0590000000000001;-0,203;0,2;0,37;0,436;0,227;-0,965
-0,366;-0,246;0,24;0,407;0,462;0,258;0,0590000000000001;-0,203;0,2;0,37;0,436;0,227
-0,87;-0,366;-0,246;0,24;0,407;0,462;0,258;0,0590000000000001;-0,203;0,2;0,37;0,436
-1,014;-0,87;-0,366;-0,246;0,24;0,407;0,462;0,258;0,0590000000000001;-0,203;0,2;0,37
-1,071;-1,014;-0,87;-0,366;-0,246;0,24;0,407;0,462;0,258;0,0590000000000001;-0,203;0,2
-0,693;-1,071;-1,014;-0,87;-0,366;-0,246;0,24;0,407;0,462;0,258;0,0590000000000001;-0,203
0,049;-0,693;-1,071;-1,014;-0,87;-0,366;-0,246;0,24;0,407;0,462;0,258;0,0590000000000001
0,593;0,049;-0,693;-1,071;-1,014;-0,87;-0,366;-0,246;0,24;0,407;0,462;0,258
-0,25;0,593;0,049;-0,693;-1,071;-1,014;-0,87;-0,366;-0,246;0,24;0,407;0,462
-0,515;-0,25;0,593;0,049;-0,693;-1,071;-1,014;-0,87;-0,366;-0,246;0,24;0,407
-0,557;-0,515;-0,25;0,593;0,049;-0,693;-1,071;-1,014;-0,87;-0,366;-0,246;0,24
-0,549;-0,557;-0,515;-0,25;0,593;0,049;-0,693;-1,071;-1,014;-0,87;-0,366;-0,246
0,074;-0,549;-0,557;-0,515;-0,25;0,593;0,049;-0,693;-1,071;-1,014;-0,87;-0,366
-0,017;0,074;-0,549;-0,557;-0,515;-0,25;0,593;0,049;-0,693;-1,071;-1,014;-0,87
0,447;-0,017;0,074;-0,549;-0,557;-0,515;-0,25;0,593;0,049;-0,693;-1,071;-1,014
0,681;0,447;-0,017;0,074;-0,549;-0,557;-0,515;-0,25;0,593;0,049;-0,693;-1,071
0,606;0,681;0,447;-0,017;0,074;-0,549;-0,557;-0,515;-0,25;0,593;0,049;-0,693
0,881;0,606;0,681;0,447;-0,017;0,074;-0,549;-0,557;-0,515;-0,25;0,593;0,049
0,212;0,881;0,606;0,681;0,447;-0,017;0,074;-0,549;-0,557;-0,515;-0,25;0,593
-0,609;0,212;0,881;0,606;0,681;0,447;-0,017;0,074;-0,549;-0,557;-0,515;-0,25
-0,669;-0,609;0,212;0,881;0,606;0,681;0,447;-0,017;0,074;-0,549;-0,557;-0,515
-0,275;-0,669;-0,609;0,212;0,881;0,606;0,681;0,447;-0,017;0,074;-0,549;-0,557
-0,205;-0,275;-0,669;-0,609;0,212;0,881;0,606;0,681;0,447;-0,017;0,074;-0,549
0,163;-0,205;-0,275;-0,669;-0,609;0,212;0,881;0,606;0,681;0,447;-0,017;0,074
0,303;0,163;-0,205;-0,275;-0,669;-0,609;0,212;0,881;0,606;0,681;0,447;-0,017
0,647;0,303;0,163;-0,205;-0,275;-0,669;-0,609;0,212;0,881;0,606;0,681;0,447
0,326;0,647;0,303;0,163;-0,205;-0,275;-0,669;-0,609;0,212;0,881;0,606;0,681
-0,093;0,326;0,647;0,303;0,163;-0,205;-0,275;-0,669;-0,609;0,212;0,881;0,606
0,627;-0,093;0,326;0,647;0,303;0,163;-0,205;-0,275;-0,669;-0,609;0,212;0,881
0,418;0,627;-0,093;0,326;0,647;0,303;0,163;-0,205;-0,275;-0,669;-0,609;0,212
0,034;0,418;0,627;-0,093;0,326;0,647;0,303;0,163;-0,205;-0,275;-0,669;-0,609
0,062;0,034;0,418;0,627;-0,093;0,326;0,647;0,303;0,163;-0,205;-0,275;-0,669
0,167;0,062;0,034;0,418;0,627;-0,093;0,326;0,647;0,303;0,163;-0,205;-0,275
-0,3;0,167;0,062;0,034;0,418;0,627;-0,093;0,326;0,647;0,303;0,163;-0,205
-0,249;-0,3;0,167;0,062;0,034;0,418;0,627;-0,093;0,326;0,647;0,303;0,163
-0,505;-0,249;-0,3;0,167;0,062;0,034;0,418;0,627;-0,093;0,326;0,647;0,303
-0,714;-0,505;-0,249;-0,3;0,167;0,062;0,034;0,418;0,627;-0,093;0,326;0,647
-0,275;-0,714;-0,505;-0,249;-0,3;0,167;0,062;0,034;0,418;0,627;-0,093;0,326
-0,1;-0,275;-0,714;-0,505;-0,249;-0,3;0,167;0,062;0,034;0,418;0,627;-0,093
-0,013;-0,1;-0,275;-0,714;-0,505;-0,249;-0,3;0,167;0,062;0,034;0,418;0,627
-0,337;-0,013;-0,1;-0,275;-0,714;-0,505;-0,249;-0,3;0,167;0,062;0,034;0,418
-0,913;-0,337;-0,013;-0,1;-0,275;-0,714;-0,505;-0,249;-0,3;0,167;0,062;0,034
-0,713;-0,913;-0,337;-0,013;-0,1;-0,275;-0,714;-0,505;-0,249;-0,3;0,167;0,062
-0,597;-0,713;-0,913;-0,337;-0,013;-0,1;-0,275;-0,714;-0,505;-0,249;-0,3;0,167
-0,19;-0,597;-0,713;-0,913;-0,337;-0,013;-0,1;-0,275;-0,714;-0,505;-0,249;-0,3
0,052;-0,19;-0,597;-0,713;-0,913;-0,337;-0,013;-0,1;-0,275;-0,714;-0,505;-0,249
-0,169;0,052;-0,19;-0,597;-0,713;-0,913;-0,337;-0,013;-0,1;-0,275;-0,714;-0,505
-0,834;-0,169;0,052;-0,19;-0,597;-0,713;-0,913;-0,337;-0,013;-0,1;-0,275;-0,714
-1,104;-0,834;-0,169;0,052;-0,19;-0,597;-0,713;-0,913;-0,337;-0,013;-0,1;-0,275
-1,548;-1,104;-0,834;-0,169;0,052;-0,19;-0,597;-0,713;-0,913;-0,337;-0,013;-0,1
-2,045;-1,548;-1,104;-0,834;-0,169;0,052;-0,19;-0,597;-0,713;-0,913;-0,337;-0,013
-1,788;-2,045;-1,548;-1,104;-0,834;-0,169;0,052;-0,19;-0,597;-0,713;-0,913;-0,337
-1,979;-1,788;-2,045;-1,548;-1,104;-0,834;-0,169;0,052;-0,19;-0,597;-0,713;-0,913
-1,478;-1,979;-1,788;-2,045;-1,548;-1,104;-0,834;-0,169;0,052;-0,19;-0,597;-0,713
-2,004;-1,478;-1,979;-1,788;-2,045;-1,548;-1,104;-0,834;-0,169;0,052;-0,19;-0,597
-1,512;-2,004;-1,478;-1,979;-1,788;-2,045;-1,548;-1,104;-0,834;-0,169;0,052;-0,19
-1,185;-1,512;-2,004;-1,478;-1,979;-1,788;-2,045;-1,548;-1,104;-0,834;-0,169;0,052
-1,252;-1,185;-1,512;-2,004;-1,478;-1,979;-1,788;-2,045;-1,548;-1,104;-0,834;-0,169
-1,501;-1,252;-1,185;-1,512;-2,004;-1,478;-1,979;-1,788;-2,045;-1,548;-1,104;-0,834
-0,528;-1,501;-1,252;-1,185;-1,512;-2,004;-1,478;-1,979;-1,788;-2,045;-1,548;-1,104
-0,515;-0,528;-1,501;-1,252;-1,185;-1,512;-2,004;-1,478;-1,979;-1,788;-2,045;-1,548
-0,532;-0,515;-0,528;-1,501;-1,252;-1,185;-1,512;-2,004;-1,478;-1,979;-1,788;-2,045
-0,419;-0,532;-0,515;-0,528;-1,501;-1,252;-1,185;-1,512;-2,004;-1,478;-1,979;-1,788
-0,281;-0,419;-0,532;-0,515;-0,528;-1,501;-1,252;-1,185;-1,512;-2,004;-1,478;-1,979
-0,84;-0,281;-0,419;-0,532;-0,515;-0,528;-1,501;-1,252;-1,185;-1,512;-2,004;-1,478
-0,638;-0,84;-0,281;-0,419;-0,532;-0,515;-0,528;-1,501;-1,252;-1,185;-1,512;-2,004
-0,395;-0,638;-0,84;-0,281;-0,419;-0,532;-0,515;-0,528;-1,501;-1,252;-1,185;-1,512
-0,953;-0,395;-0,638;-0,84;-0,281;-0,419;-0,532;-0,515;-0,528;-1,501;-1,252;-1,185
-2,024;-0,953;-0,395;-0,638;-0,84;-0,281;-0,419;-0,532;-0,515;-0,528;-1,501;-1,252
-1,438;-2,024;-0,953;-0,395;-0,638;-0,84;-0,281;-0,419;-0,532;-0,515;-0,528;-1,501
-1,02;-1,438;-2,024;-0,953;-0,395;-0,638;-0,84;-0,281;-0,419;-0,532;-0,515;-0,528
-1,42;-1,02;-1,438;-2,024;-0,953;-0,395;-0,638;-0,84;-0,281;-0,419;-0,532;-0,515
-1,465;-1,42;-1,02;-1,438;-2,024;-0,953;-0,395;-0,638;-0,84;-0,281;-0,419;-0,532
-1,351;-1,465;-1,42;-1,02;-1,438;-2,024;-0,953;-0,395;-0,638;-0,84;-0,281;-0,419
-0,505;-1,351;-1,465;-1,42;-1,02;-1,438;-2,024;-0,953;-0,395;-0,638;-0,84;-0,281
-0,194;-0,505;-1,351;-1,465;-1,42;-1,02;-1,438;-2,024;-0,953;-0,395;-0,638;-0,84
0,452;-0,194;-0,505;-1,351;-1,465;-1,42;-1,02;-1,438;-2,024;-0,953;-0,395;-0,638
0,584;0,452;-0,194;-0,505;-1,351;-1,465;-1,42;-1,02;-1,438;-2,024;-0,953;-0,395
1,48;0,584;0,452;-0,194;-0,505;-1,351;-1,465;-1,42;-1,02;-1,438;-2,024;-0,953
1,444;1,48;0,584;0,452;-0,194;-0,505;-1,351;-1,465;-1,42;-1,02;-1,438;-2,024
2,167;1,444;1,48;0,584;0,452;-0,194;-0,505;-1,351;-1,465;-1,42;-1,02;-1,438
1,491;2,167;1,444;1,48;0,584;0,452;-0,194;-0,505;-1,351;-1,465;-1,42;-1,02
1,891;1,491;2,167;1,444;1,48;0,584;0,452;-0,194;-0,505;-1,351;-1,465;-1,42
2,364;1,891;1,491;2,167;1,444;1,48;0,584;0,452;-0,194;-0,505;-1,351;-1,465
3,022;2,364;1,891;1,491;2,167;1,444;1,48;0,584;0,452;-0,194;-0,505;-1,351
3,25;3,022;2,364;1,891;1,491;2,167;1,444;1,48;0,584;0,452;-0,194;-0,505
2,457;3,25;3,022;2,364;1,891;1,491;2,167;1,444;1,48;0,584;0,452;-0,194
1,967;2,457;3,25;3,022;2,364;1,891;1,491;2,167;1,444;1,48;0,584;0,452
2,495;1,967;2,457;3,25;3,022;2,364;1,891;1,491;2,167;1,444;1,48;0,584
2,579;2,495;1,967;2,457;3,25;3,022;2,364;1,891;1,491;2,167;1,444;1,48
2,48;2,579;2,495;1,967;2,457;3,25;3,022;2,364;1,891;1,491;2,167;1,444
2,752;2,48;2,579;2,495;1,967;2,457;3,25;3,022;2,364;1,891;1,491;2,167
3,147;2,752;2,48;2,579;2,495;1,967;2,457;3,25;3,022;2,364;1,891;1,491
3,775;3,147;2,752;2,48;2,579;2,495;1,967;2,457;3,25;3,022;2,364;1,891
3,184;3,775;3,147;2,752;2,48;2,579;2,495;1,967;2,457;3,25;3,022;2,364
3,49;3,184;3,775;3,147;2,752;2,48;2,579;2,495;1,967;2,457;3,25;3,022
3,734;3,49;3,184;3,775;3,147;2,752;2,48;2,579;2,495;1,967;2,457;3,25
3,274;3,734;3,49;3,184;3,775;3,147;2,752;2,48;2,579;2,495;1,967;2,457
3,438;3,274;3,734;3,49;3,184;3,775;3,147;2,752;2,48;2,579;2,495;1,967
3,411;3,438;3,274;3,734;3,49;3,184;3,775;3,147;2,752;2,48;2,579;2,495
2,835;3,411;3,438;3,274;3,734;3,49;3,184;3,775;3,147;2,752;2,48;2,579
1,994;2,835;3,411;3,438;3,274;3,734;3,49;3,184;3,775;3,147;2,752;2,48
1,392;1,994;2,835;3,411;3,438;3,274;3,734;3,49;3,184;3,775;3,147;2,752
1,405;1,392;1,994;2,835;3,411;3,438;3,274;3,734;3,49;3,184;3,775;3,147
1,261;1,405;1,392;1,994;2,835;3,411;3,438;3,274;3,734;3,49;3,184;3,775
1,443;1,261;1,405;1,392;1,994;2,835;3,411;3,438;3,274;3,734;3,49;3,184
1,411;1,443;1,261;1,405;1,392;1,994;2,835;3,411;3,438;3,274;3,734;3,49
0,778;1,411;1,443;1,261;1,405;1,392;1,994;2,835;3,411;3,438;3,274;3,734
0,312;0,778;1,411;1,443;1,261;1,405;1,392;1,994;2,835;3,411;3,438;3,274
0,469;0,312;0,778;1,411;1,443;1,261;1,405;1,392;1,994;2,835;3,411;3,438
0,872;0,469;0,312;0,778;1,411;1,443;1,261;1,405;1,392;1,994;2,835;3,411
0,581;0,872;0,469;0,312;0,778;1,411;1,443;1,261;1,405;1,392;1,994;2,835
0,45;0,581;0,872;0,469;0,312;0,778;1,411;1,443;1,261;1,405;1,392;1,994
0,831;0,45;0,581;0,872;0,469;0,312;0,778;1,411;1,443;1,261;1,405;1,392
0,94;0,831;0,45;0,581;0,872;0,469;0,312;0,778;1,411;1,443;1,261;1,405
1,002;0,94;0,831;0,45;0,581;0,872;0,469;0,312;0,778;1,411;1,443;1,261
0,789;1,002;0,94;0,831;0,45;0,581;0,872;0,469;0,312;0,778;1,411;1,443
0,648;0,789;1,002;0,94;0,831;0,45;0,581;0,872;0,469;0,312;0,778;1,411
1,432;0,648;0,789;1,002;0,94;0,831;0,45;0,581;0,872;0,469;0,312;0,778
1,49;1,432;0,648;0,789;1,002;0,94;0,831;0,45;0,581;0,872;0,469;0,312
0,88;1,49;1,432;0,648;0,789;1,002;0,94;0,831;0,45;0,581;0,872;0,469
0,532;0,88;1,49;1,432;0,648;0,789;1,002;0,94;0,831;0,45;0,581;0,872
-0,274;0,532;0,88;1,49;1,432;0,648;0,789;1,002;0,94;0,831;0,45;0,581
-0,358;-0,274;0,532;0,88;1,49;1,432;0,648;0,789;1,002;0,94;0,831;0,45
-0,79;-0,358;-0,274;0,532;0,88;1,49;1,432;0,648;0,789;1,002;0,94;0,831
-1,159;-0,79;-0,358;-0,274;0,532;0,88;1,49;1,432;0,648;0,789;1,002;0,94
-1,566;-1,159;-0,79;-0,358;-0,274;0,532;0,88;1,49;1,432;0,648;0,789;1,002
-2,307;-1,566;-1,159;-0,79;-0,358;-0,274;0,532;0,88;1,49;1,432;0,648;0,789
-2,666;-2,307;-1,566;-1,159;-0,79;-0,358;-0,274;0,532;0,88;1,49;1,432;0,648
-3,474;-2,666;-2,307;-1,566;-1,159;-0,79;-0,358;-0,274;0,532;0,88;1,49;1,432
-4,555;-3,474;-2,666;-2,307;-1,566;-1,159;-0,79;-0,358;-0,274;0,532;0,88;1,49
-4,881;-4,555;-3,474;-2,666;-2,307;-1,566;-1,159;-0,79;-0,358;-0,274;0,532;0,88
-4,383;-4,881;-4,555;-3,474;-2,666;-2,307;-1,566;-1,159;-0,79;-0,358;-0,274;0,532
-4,013;-4,383;-4,881;-4,555;-3,474;-2,666;-2,307;-1,566;-1,159;-0,79;-0,358;-0,274
-4,163;-4,013;-4,383;-4,881;-4,555;-3,474;-2,666;-2,307;-1,566;-1,159;-0,79;-0,358
-4,075;-4,163;-4,013;-4,383;-4,881;-4,555;-3,474;-2,666;-2,307;-1,566;-1,159;-0,79
-3,693;-4,075;-4,163;-4,013;-4,383;-4,881;-4,555;-3,474;-2,666;-2,307;-1,566;-1,159
-3,526;-3,693;-4,075;-4,163;-4,013;-4,383;-4,881;-4,555;-3,474;-2,666;-2,307;-1,566
-2,972;-3,526;-3,693;-4,075;-4,163;-4,013;-4,383;-4,881;-4,555;-3,474;-2,666;-2,307
-2,577;-2,972;-3,526;-3,693;-4,075;-4,163;-4,013;-4,383;-4,881;-4,555;-3,474;-2,666
-2,799;-2,577;-2,972;-3,526;-3,693;-4,075;-4,163;-4,013;-4,383;-4,881;-4,555;-3,474
-2,73;-2,799;-2,577;-2,972;-3,526;-3,693;-4,075;-4,163;-4,013;-4,383;-4,881;-4,555
-2,534;-2,73;-2,799;-2,577;-2,972;-3,526;-3,693;-4,075;-4,163;-4,013;-4,383;-4,881
-2,428;-2,534;-2,73;-2,799;-2,577;-2,972;-3,526;-3,693;-4,075;-4,163;-4,013;-4,383
-2,467;-2,428;-2,534;-2,73;-2,799;-2,577;-2,972;-3,526;-3,693;-4,075;-4,163;-4,013
-2,543;-2,467;-2,428;-2,534;-2,73;-2,799;-2,577;-2,972;-3,526;-3,693;-4,075;-4,163
-2,169;-2,543;-2,467;-2,428;-2,534;-2,73;-2,799;-2,577;-2,972;-3,526;-3,693;-4,075
-1,251;-2,169;-2,543;-2,467;-2,428;-2,534;-2,73;-2,799;-2,577;-2,972;-3,526;-3,693
0,167;-1,251;-2,169;-2,543;-2,467;-2,428;-2,534;-2,73;-2,799;-2,577;-2,972;-3,526
0,147;0,167;-1,251;-2,169;-2,543;-2,467;-2,428;-2,534;-2,73;-2,799;-2,577;-2,972
0,12;0,147;0,167;-1,251;-2,169;-2,543;-2,467;-2,428;-2,534;-2,73;-2,799;-2,577
0,273;0,12;0,147;0,167;-1,251;-2,169;-2,543;-2,467;-2,428;-2,534;-2,73;-2,799
0,656;0,273;0,12;0,147;0,167;-1,251;-2,169;-2,543;-2,467;-2,428;-2,534;-2,73
0,256;0,656;0,273;0,12;0,147;0,167;-1,251;-2,169;-2,543;-2,467;-2,428;-2,534
0,211;0,256;0,656;0,273;0,12;0,147;0,167;-1,251;-2,169;-2,543;-2,467;-2,428
0,515;0,211;0,256;0,656;0,273;0,12;0,147;0,167;-1,251;-2,169;-2,543;-2,467
1,072;0,515;0,211;0,256;0,656;0,273;0,12;0,147;0,167;-1,251;-2,169;-2,543
1,086;1,072;0,515;0,211;0,256;0,656;0,273;0,12;0,147;0,167;-1,251;-2,169
1,12;1,086;1,072;0,515;0,211;0,256;0,656;0,273;0,12;0,147;0,167;-1,251
0,143;1,12;1,086;1,072;0,515;0,211;0,256;0,656;0,273;0,12;0,147;0,167
-1,042;0,143;1,12;1,086;1,072;0,515;0,211;0,256;0,656;0,273;0,12;0,147
-0,541;-1,042;0,143;1,12;1,086;1,072;0,515;0,211;0,256;0,656;0,273;0,12
0,255;-0,541;-1,042;0,143;1,12;1,086;1,072;0,515;0,211;0,256;0,656;0,273
1,17;0,255;-0,541;-1,042;0,143;1,12;1,086;1,072;0,515;0,211;0,256;0,656
1,909;1,17;0,255;-0,541;-1,042;0,143;1,12;1,086;1,072;0,515;0,211;0,256
2,435;1,909;1,17;0,255;-0,541;-1,042;0,143;1,12;1,086;1,072;0,515;0,211
3,064;2,435;1,909;1,17;0,255;-0,541;-1,042;0,143;1,12;1,086;1,072;0,515
3,003;3,064;2,435;1,909;1,17;0,255;-0,541;-1,042;0,143;1,12;1,086;1,072
2,663;3,003;3,064;2,435;1,909;1,17;0,255;-0,541;-1,042;0,143;1,12;1,086
2,341;2,663;3,003;3,064;2,435;1,909;1,17;0,255;-0,541;-1,042;0,143;1,12
2,429;2,341;2,663;3,003;3,064;2,435;1,909;1,17;0,255;-0,541;-1,042;0,143
2,917;2,429;2,341;2,663;3,003;3,064;2,435;1,909;1,17;0,255;-0,541;-1,042
3,093;2,917;2,429;2,341;2,663;3,003;3,064;2,435;1,909;1,17;0,255;-0,541
3,366;3,093;2,917;2,429;2,341;2,663;3,003;3,064;2,435;1,909;1,17;0,255
3,583;3,366;3,093;2,917;2,429;2,341;2,663;3,003;3,064;2,435;1,909;1,17
4,036;3,583;3,366;3,093;2,917;2,429;2,341;2,663;3,003;3,064;2,435;1,909
4,114;4,036;3,583;3,366;3,093;2,917;2,429;2,341;2,663;3,003;3,064;2,435
4,451;4,114;4,036;3,583;3,366;3,093;2,917;2,429;2,341;2,663;3,003;3,064
4,613;4,451;4,114;4,036;3,583;3,366;3,093;2,917;2,429;2,341;2,663;3,003
5,046;4,613;4,451;4,114;4,036;3,583;3,366;3,093;2,917;2,429;2,341;2,663
5,827;5,046;4,613;4,451;4,114;4,036;3,583;3,366;3,093;2,917;2,429;2,341
6,826;5,827;5,046;4,613;4,451;4,114;4,036;3,583;3,366;3,093;2,917;2,429
7,156;6,826;5,827;5,046;4,613;4,451;4,114;4,036;3,583;3,366;3,093;2,917
7,296;7,156;6,826;5,827;5,046;4,613;4,451;4,114;4,036;3,583;3,366;3,093
7,441;7,296;7,156;6,826;5,827;5,046;4,613;4,451;4,114;4,036;3,583;3,366
7,696;7,441;7,296;7,156;6,826;5,827;5,046;4,613;4,451;4,114;4,036;3,583
7,521;7,696;7,441;7,296;7,156;6,826;5,827;5,046;4,613;4,451;4,114;4,036
6,892;7,521;7,696;7,441;7,296;7,156;6,826;5,827;5,046;4,613;4,451;4,114
6,831;6,892;7,521;7,696;7,441;7,296;7,156;6,826;5,827;5,046;4,613;4,451
7,486;6,831;6,892;7,521;7,696;7,441;7,296;7,156;6,826;5,827;5,046;4,613
7,834;7,486;6,831;6,892;7,521;7,696;7,441;7,296;7,156;6,826;5,827;5,046
8,098;7,834;7,486;6,831;6,892;7,521;7,696;7,441;7,296;7,156;6,826;5,827
7,644;8,098;7,834;7,486;6,831;6,892;7,521;7,696;7,441;7,296;7,156;6,826
7,025;7,644;8,098;7,834;7,486;6,831;6,892;7,521;7,696;7,441;7,296;7,156
7,052;7,025;7,644;8,098;7,834;7,486;6,831;6,892;7,521;7,696;7,441;7,296
7,345;7,052;7,025;7,644;8,098;7,834;7,486;6,831;6,892;7,521;7,696;7,441
7,502;7,345;7,052;7,025;7,644;8,098;7,834;7,486;6,831;6,892;7,521;7,696
7,563;7,502;7,345;7,052;7,025;7,644;8,098;7,834;7,486;6,831;6,892;7,521
