"Y";"Y_L1";"Y_L2";"Y_L3";"Y_L4";"Y_L5";"Y_L6";"Y_L7";"Y_L8";"Y_L9";"Y_L10";"Y_L11";"F1";"F1_L1";"F1_L2";"F1_L3";"F1_L4";"F1_L5";"F1_L6";"F1_L7";"F1_L8";"F1_L9";"F1_L10";"F1_L11";"F2";"F2_L1";"F2_L2";"F2_L3";"F2_L4";"F2_L5";"F2_L6";"F2_L7";"F2_L8";"F2_L9";"F2_L10";"F2_L11";"F3";"F3_L1";"F3_L2";"F3_L3";"F3_L4";"F3_L5";"F3_L6";"F3_L7";"F3_L8";"F3_L9";"F3_L10";"F3_L11";"F4";"F4_L1";"F4_L2";"F4_L3";"F4_L4";"F4_L5";"F4_L6";"F4_L7";"F4_L8";"F4_L9";"F4_L10";"F4_L11";"F5";"F5_L1";"F5_L2";"F5_L3";"F5_L4";"F5_L5";"F5_L6";"F5_L7";"F5_L8";"F5_L9";"F5_L10";"F5_L11";"F6";"F6_L1";"F6_L2";"F6_L3";"F6_L4";"F6_L5";"F6_L6";"F6_L7";"F6_L8";"F6_L9";"F6_L10";"F6_L11";"F7";"F7_L1";"F7_L2";"F7_L3";"F7_L4";"F7_L5";"F7_L6";"F7_L7";"F7_L8";"F7_L9";"F7_L10";"F7_L11";"F8";"F8_L1";"F8_L2";"F8_L3";"F8_L4";"F8_L5";"F8_L6";"F8_L7";"F8_L8";"F8_L9";"F8_L10";"F8_L11"
0,408;0,146;-0,241;0,145;-0,193;-0,314;-0,181;-1,111;-0,526;-0,423;0,158;-0,00600000000000001;-2,100133385;-1,907145949;-1,460308563;-1,53753698;-0,625674093;-0,0944482260000001;1,233571723;2,335172531;2,910130305;3,338905768;3,215460913;3,316049879;0,845500162;0,98843992;1,151310661;1,38761662;1,50629106;1,467033441;1,342163904;0,984304711;0,889758504;0,725700744;0,515075518;0,282439612;1,400077287;1,35499399;1,467031849;1,699244984;1,379075815;1,484736894;1,185501891;0,988954688;0,482048701;0,239497132;0,180689438;-0,172550493;0,075429612;0,136898425;0,223139516;0,081690442;0,083727487;-0,053808671;-0,135763837;-0,16974462;-0,117774586;0,103340256;-0,011935428;0,00433833500000002;-0,329956049;-0,321357933;-0,326126038;0,174438863;0,337795894;0,432840407;0,18928136;-0,137342713;-0,210748597;-0,306561719;-0,365381879;-0,274060078;-0,020812796;0,106836247;0,280567278;0,607283136;0,935844233;1,19147961;1,386389691;1,643000836;1,790435914;1,786530369;1,521191534;1,296373112;-0,452362514;-0,663272466;-0,807902219;-0,770266287;-0,880772805;-0,505717541;-0,343933591;0,067133575;0,029180283;-0,056159443;-0,10037756;-0,362614713;-0,277434782;-0,272602585;0,150650812;-0,023510517;0,034344823;0,029553283;0,074584577;-0,023052949;-0,582251662;-0,506516035;-0,636750582;-0,606411938
0,75;0,408;0,146;-0,241;0,145;-0,193;-0,314;-0,181;-1,111;-0,526;-0,423;0,158;-2,002341126;-2,100133385;-1,907145949;-1,460308563;-1,53753698;-0,625674093;-0,0944482260000001;1,233571723;2,335172531;2,910130305;3,338905768;3,215460913;0,76691445;0,845500162;0,98843992;1,151310661;1,38761662;1,50629106;1,467033441;1,342163904;0,984304711;0,889758504;0,725700744;0,515075518;1,248581493;1,400077287;1,35499399;1,467031849;1,699244984;1,379075815;1,484736894;1,185501891;0,988954688;0,482048701;0,239497132;0,180689438;0,089120181;0,075429612;0,136898425;0,223139516;0,081690442;0,083727487;-0,053808671;-0,135763837;-0,16974462;-0,117774586;0,103340256;-0,011935428;-0,462400552;-0,329956049;-0,321357933;-0,326126038;0,174438863;0,337795894;0,432840407;0,18928136;-0,137342713;-0,210748597;-0,306561719;-0,365381879;-0,1542883;-0,020812796;0,106836247;0,280567278;0,607283136;0,935844233;1,19147961;1,386389691;1,643000836;1,790435914;1,786530369;1,521191534;-0,359421251;-0,452362514;-0,663272466;-0,807902219;-0,770266287;-0,880772805;-0,505717541;-0,343933591;0,067133575;0,029180283;-0,056159443;-0,10037756;-0,095086024;-0,277434782;-0,272602585;0,150650812;-0,023510517;0,034344823;0,029553283;0,074584577;-0,023052949;-0,582251662;-0,506516035;-0,636750582
0,563;0,75;0,408;0,146;-0,241;0,145;-0,193;-0,314;-0,181;-1,111;-0,526;-0,423;-1,790225536;-2,002341126;-2,100133385;-1,907145949;-1,460308563;-1,53753698;-0,625674093;-0,0944482260000001;1,233571723;2,335172531;2,910130305;3,338905768;0,445375875;0,76691445;0,845500162;0,98843992;1,151310661;1,38761662;1,50629106;1,467033441;1,342163904;0,984304711;0,889758504;0,725700744;1,010508436;1,248581493;1,400077287;1,35499399;1,467031849;1,699244984;1,379075815;1,484736894;1,185501891;0,988954688;0,482048701;0,239497132;0,125019932;0,089120181;0,075429612;0,136898425;0,223139516;0,081690442;0,083727487;-0,053808671;-0,135763837;-0,16974462;-0,117774586;0,103340256;-0,755688438;-0,462400552;-0,329956049;-0,321357933;-0,326126038;0,174438863;0,337795894;0,432840407;0,18928136;-0,137342713;-0,210748597;-0,306561719;-0,342465705;-0,1542883;-0,020812796;0,106836247;0,280567278;0,607283136;0,935844233;1,19147961;1,386389691;1,643000836;1,790435914;1,786530369;-0,015075407;-0,359421251;-0,452362514;-0,663272466;-0,807902219;-0,770266287;-0,880772805;-0,505717541;-0,343933591;0,067133575;0,029180283;-0,056159443;-0,087205454;-0,095086024;-0,277434782;-0,272602585;0,150650812;-0,023510517;0,034344823;0,029553283;0,074584577;-0,023052949;-0,582251662;-0,506516035
0,055;0,563;0,75;0,408;0,146;-0,241;0,145;-0,193;-0,314;-0,181;-1,111;-0,526;-1,836181781;-1,790225536;-2,002341126;-2,100133385;-1,907145949;-1,460308563;-1,53753698;-0,625674093;-0,0944482260000001;1,233571723;2,335172531;2,910130305;0,506512387;0,445375875;0,76691445;0,845500162;0,98843992;1,151310661;1,38761662;1,50629106;1,467033441;1,342163904;0,984304711;0,889758504;0,852732272;1,010508436;1,248581493;1,400077287;1,35499399;1,467031849;1,699244984;1,379075815;1,484736894;1,185501891;0,988954688;0,482048701;0,099409422;0,125019932;0,089120181;0,075429612;0,136898425;0,223139516;0,081690442;0,083727487;-0,053808671;-0,135763837;-0,16974462;-0,117774586;-0,695934271;-0,755688438;-0,462400552;-0,329956049;-0,321357933;-0,326126038;0,174438863;0,337795894;0,432840407;0,18928136;-0,137342713;-0,210748597;-0,470155685;-0,342465705;-0,1542883;-0,020812796;0,106836247;0,280567278;0,607283136;0,935844233;1,19147961;1,386389691;1,643000836;1,790435914;-0,195953261;-0,015075407;-0,359421251;-0,452362514;-0,663272466;-0,807902219;-0,770266287;-0,880772805;-0,505717541;-0,343933591;0,067133575;0,029180283;-0,325546688;-0,087205454;-0,095086024;-0,277434782;-0,272602585;0,150650812;-0,023510517;0,034344823;0,029553283;0,074584577;-0,023052949;-0,582251662
0,038;0,055;0,563;0,75;0,408;0,146;-0,241;0,145;-0,193;-0,314;-0,181;-1,111;-2,092770463;-1,836181781;-1,790225536;-2,002341126;-2,100133385;-1,907145949;-1,460308563;-1,53753698;-0,625674093;-0,0944482260000001;1,233571723;2,335172531;0,443621317;0,506512387;0,445375875;0,76691445;0,845500162;0,98843992;1,151310661;1,38761662;1,50629106;1,467033441;1,342163904;0,984304711;0,909681556;0,852732272;1,010508436;1,248581493;1,400077287;1,35499399;1,467031849;1,699244984;1,379075815;1,484736894;1,185501891;0,988954688;0,047545807;0,099409422;0,125019932;0,089120181;0,075429612;0,136898425;0,223139516;0,081690442;0,083727487;-0,053808671;-0,135763837;-0,16974462;-0,331603573;-0,695934271;-0,755688438;-0,462400552;-0,329956049;-0,321357933;-0,326126038;0,174438863;0,337795894;0,432840407;0,18928136;-0,137342713;-0,510828566;-0,470155685;-0,342465705;-0,1542883;-0,020812796;0,106836247;0,280567278;0,607283136;0,935844233;1,19147961;1,386389691;1,643000836;-0,287257263;-0,195953261;-0,015075407;-0,359421251;-0,452362514;-0,663272466;-0,807902219;-0,770266287;-0,880772805;-0,505717541;-0,343933591;0,067133575;-0,212131219;-0,325546688;-0,087205454;-0,095086024;-0,277434782;-0,272602585;0,150650812;-0,023510517;0,034344823;0,029553283;0,074584577;-0,023052949
-0,087;0,038;0,055;0,563;0,75;0,408;0,146;-0,241;0,145;-0,193;-0,314;-0,181;-1,799225902;-2,092770463;-1,836181781;-1,790225536;-2,002341126;-2,100133385;-1,907145949;-1,460308563;-1,53753698;-0,625674093;-0,0944482260000001;1,233571723;0,208154874;0,443621317;0,506512387;0,445375875;0,76691445;0,845500162;0,98843992;1,151310661;1,38761662;1,50629106;1,467033441;1,342163904;0,669878766;0,909681556;0,852732272;1,010508436;1,248581493;1,400077287;1,35499399;1,467031849;1,699244984;1,379075815;1,484736894;1,185501891;0,012155924;0,047545807;0,099409422;0,125019932;0,089120181;0,075429612;0,136898425;0,223139516;0,081690442;0,083727487;-0,053808671;-0,135763837;-0,539677193;-0,331603573;-0,695934271;-0,755688438;-0,462400552;-0,329956049;-0,321357933;-0,326126038;0,174438863;0,337795894;0,432840407;0,18928136;-0,599511517;-0,510828566;-0,470155685;-0,342465705;-0,1542883;-0,020812796;0,106836247;0,280567278;0,607283136;0,935844233;1,19147961;1,386389691;-0,279450996;-0,287257263;-0,195953261;-0,015075407;-0,359421251;-0,452362514;-0,663272466;-0,807902219;-0,770266287;-0,880772805;-0,505717541;-0,343933591;-0,67725918;-0,212131219;-0,325546688;-0,087205454;-0,095086024;-0,277434782;-0,272602585;0,150650812;-0,023510517;0,034344823;0,029553283;0,074584577
-0,15;-0,087;0,038;0,055;0,563;0,75;0,408;0,146;-0,241;0,145;-0,193;-0,314;-1,150359844;-1,799225902;-2,092770463;-1,836181781;-1,790225536;-2,002341126;-2,100133385;-1,907145949;-1,460308563;-1,53753698;-0,625674093;-0,0944482260000001;-0,03263305;0,208154874;0,443621317;0,506512387;0,445375875;0,76691445;0,845500162;0,98843992;1,151310661;1,38761662;1,50629106;1,467033441;0,528107942;0,669878766;0,909681556;0,852732272;1,010508436;1,248581493;1,400077287;1,35499399;1,467031849;1,699244984;1,379075815;1,484736894;0,141757631;0,012155924;0,047545807;0,099409422;0,125019932;0,089120181;0,075429612;0,136898425;0,223139516;0,081690442;0,083727487;-0,053808671;-0,770513873;-0,539677193;-0,331603573;-0,695934271;-0,755688438;-0,462400552;-0,329956049;-0,321357933;-0,326126038;0,174438863;0,337795894;0,432840407;-0,430694747;-0,599511517;-0,510828566;-0,470155685;-0,342465705;-0,1542883;-0,020812796;0,106836247;0,280567278;0,607283136;0,935844233;1,19147961;-0,651240349;-0,279450996;-0,287257263;-0,195953261;-0,015075407;-0,359421251;-0,452362514;-0,663272466;-0,807902219;-0,770266287;-0,880772805;-0,505717541;-0,760395656;-0,67725918;-0,212131219;-0,325546688;-0,087205454;-0,095086024;-0,277434782;-0,272602585;0,150650812;-0,023510517;0,034344823;0,029553283
-0,288;-0,15;-0,087;0,038;0,055;0,563;0,75;0,408;0,146;-0,241;0,145;-0,193;-0,662864549;-1,150359844;-1,799225902;-2,092770463;-1,836181781;-1,790225536;-2,002341126;-2,100133385;-1,907145949;-1,460308563;-1,53753698;-0,625674093;-0,437663702;-0,03263305;0,208154874;0,443621317;0,506512387;0,445375875;0,76691445;0,845500162;0,98843992;1,151310661;1,38761662;1,50629106;0,407478943;0,528107942;0,669878766;0,909681556;0,852732272;1,010508436;1,248581493;1,400077287;1,35499399;1,467031849;1,699244984;1,379075815;0,277756096;0,141757631;0,012155924;0,047545807;0,099409422;0,125019932;0,089120181;0,075429612;0,136898425;0,223139516;0,081690442;0,083727487;-0,845152249;-0,770513873;-0,539677193;-0,331603573;-0,695934271;-0,755688438;-0,462400552;-0,329956049;-0,321357933;-0,326126038;0,174438863;0,337795894;-0,439406745;-0,430694747;-0,599511517;-0,510828566;-0,470155685;-0,342465705;-0,1542883;-0,020812796;0,106836247;0,280567278;0,607283136;0,935844233;-0,982851133;-0,651240349;-0,279450996;-0,287257263;-0,195953261;-0,015075407;-0,359421251;-0,452362514;-0,663272466;-0,807902219;-0,770266287;-0,880772805;-0,932035801;-0,760395656;-0,67725918;-0,212131219;-0,325546688;-0,087205454;-0,095086024;-0,277434782;-0,272602585;0,150650812;-0,023510517;0,034344823
-0,156;-0,288;-0,15;-0,087;0,038;0,055;0,563;0,75;0,408;0,146;-0,241;0,145;-0,883391388;-0,662864549;-1,150359844;-1,799225902;-2,092770463;-1,836181781;-1,790225536;-2,002341126;-2,100133385;-1,907145949;-1,460308563;-1,53753698;-0,298444091;-0,437663702;-0,03263305;0,208154874;0,443621317;0,506512387;0,445375875;0,76691445;0,845500162;0,98843992;1,151310661;1,38761662;0,607237935;0,407478943;0,528107942;0,669878766;0,909681556;0,852732272;1,010508436;1,248581493;1,400077287;1,35499399;1,467031849;1,699244984;0,178402155;0,277756096;0,141757631;0,012155924;0,047545807;0,099409422;0,125019932;0,089120181;0,075429612;0,136898425;0,223139516;0,081690442;-0,390626875;-0,845152249;-0,770513873;-0,539677193;-0,331603573;-0,695934271;-0,755688438;-0,462400552;-0,329956049;-0,321357933;-0,326126038;0,174438863;-0,159942122;-0,439406745;-0,430694747;-0,599511517;-0,510828566;-0,470155685;-0,342465705;-0,1542883;-0,020812796;0,106836247;0,280567278;0,607283136;-1,091059721;-0,982851133;-0,651240349;-0,279450996;-0,287257263;-0,195953261;-0,015075407;-0,359421251;-0,452362514;-0,663272466;-0,807902219;-0,770266287;-0,792748861;-0,932035801;-0,760395656;-0,67725918;-0,212131219;-0,325546688;-0,087205454;-0,095086024;-0,277434782;-0,272602585;0,150650812;-0,023510517
0,185;-0,156;-0,288;-0,15;-0,087;0,038;0,055;0,563;0,75;0,408;0,146;-0,241;-0,294041955;-0,883391388;-0,662864549;-1,150359844;-1,799225902;-2,092770463;-1,836181781;-1,790225536;-2,002341126;-2,100133385;-1,907145949;-1,460308563;-0,303090216;-0,298444091;-0,437663702;-0,03263305;0,208154874;0,443621317;0,506512387;0,445375875;0,76691445;0,845500162;0,98843992;1,151310661;0,287048461;0,607237935;0,407478943;0,528107942;0,669878766;0,909681556;0,852732272;1,010508436;1,248581493;1,400077287;1,35499399;1,467031849;0,085328319;0,178402155;0,277756096;0,141757631;0,012155924;0,047545807;0,099409422;0,125019932;0,089120181;0,075429612;0,136898425;0,223139516;-0,423799176;-0,390626875;-0,845152249;-0,770513873;-0,539677193;-0,331603573;-0,695934271;-0,755688438;-0,462400552;-0,329956049;-0,321357933;-0,326126038;0,060997767;-0,159942122;-0,439406745;-0,430694747;-0,599511517;-0,510828566;-0,470155685;-0,342465705;-0,1542883;-0,020812796;0,106836247;0,280567278;-1,027850818;-1,091059721;-0,982851133;-0,651240349;-0,279450996;-0,287257263;-0,195953261;-0,015075407;-0,359421251;-0,452362514;-0,663272466;-0,807902219;-0,845945447;-0,792748861;-0,932035801;-0,760395656;-0,67725918;-0,212131219;-0,325546688;-0,087205454;-0,095086024;-0,277434782;-0,272602585;0,150650812
